101001869798390,11,2023,45,24,
4003458352429040,7,2023,167,12,
101001542942942,11,2023,208,27,
4102512107561680,3,2023,60,27,
4102512550932740,1,2023,55,0,
4201789225361730,9,2023,29,21,
4201789619648970,1,2023,8,6,
4206398499271100,3,2023,4,25,
4206398826830320,8,2023,161,7,
4206398506801070,11,2023,49,12,
4206398824549590,7,2023,93,28,
101006123407668,5,2023,107,28,
4306319106737400,11,2023,115,15,
4306319363241280,7,2023,166,20,
4102512136856410,5,2023,67,22,
102002623559283,8,2023,132,17,
4102512239797410,11,2023,47,9,
101006336685398,7,2023,160,10,
4102512909129100,5,2023,209,10,
4208729723393890,12,2023,172,10,
101006851072095,7,2023,0,14,
102002322775335,8,2023,171,21,
4102512907716270,10,2023,125,15,
2602002275701150,12,2023,4,15,
2602002774309310,9,2023,149,26,
2602002347753650,5,2023,158,2,
4102512582525070,8,2023,98,14,
4102623758084770,3,2023,28,5,
102002334400578,10,2023,204,15,
4102512407946150,1,2023,137,24,
2503088794093980,1,2023,20,19,
2503088263234890,6,2023,69,16,
2503088310906760,3,2023,126,17,
2503088867559210,2,2023,100,15,
102002267470591,7,2023,25,14,
101006757184869,9,2023,123,9,
4102512817065880,12,2023,163,10,
2405071204077950,11,2023,190,23,
2405071547287580,9,2023,72,23,
2405071756303080,8,2023,68,25,
101001527058055,9,2023,165,2,
101001111665693,3,2023,24,14,
101006864238219,1,2023,123,4,
4102623861690980,7,2023,116,0,
2302042647160520,11,2023,33,1,
2302042994463360,3,2023,188,17,
2302042831995830,10,2023,102,12,
4102512479277200,8,2023,3,15,
102002992345858,12,2023,151,13,
101001863375072,11,2023,55,22,
4102623488836200,12,2023,94,14,
1920729318357630,12,2023,121,24,
1920729169240200,3,2023,94,21,
1920729267695400,6,2023,122,27,
1920729841352500,9,2023,25,11,
101001888998007,1,2023,105,25,
102002378405429,8,2023,209,3,
1613610894229130,3,2023,78,27,
1613610511904120,5,2023,156,11,
1613610309152870,6,2023,183,22,
4102512965936640,1,2023,41,23,
4102512303474410,2,2023,192,15,
101006935640796,1,2023,63,11,
4102623153431790,9,2023,31,22,
101006936009736,9,2023,177,8,
101001674724762,10,2023,0,9,
101006654833760,2,2023,96,3,
4102512444219370,8,2023,202,17,
101001388529680,6,2023,177,6,
101001229855552,1,2023,16,5,
101006897501469,8,2023,92,1,
101001869798390,8,2023,79,24,
4003458352429040,11,2023,210,28,
101001542942942,11,2023,146,2,
4102512107561680,11,2023,183,9,
4102512550932740,5,2023,25,8,
4201789225361730,1,2023,125,25,
4201789619648970,4,2023,162,15,
4206398499271100,8,2023,105,5,
4206398826830320,1,2023,27,10,
4206398506801070,4,2023,153,0,
4206398824549590,5,2023,179,24,
101006123407668,4,2023,200,5,
4306319106737400,5,2023,129,26,
4306319363241280,1,2023,105,20,
4102512136856410,5,2023,31,12,
102002623559283,6,2023,46,1,
4102512239797410,11,2023,172,17,
101006336685398,1,2023,38,12,
4102512909129100,11,2023,119,28,
4208729723393890,1,2023,174,3,
101006851072095,3,2023,7,21,
102002322775335,2,2023,24,25,
4102512907716270,4,2023,31,12,
2602002275701150,2,2023,169,13,
2602002774309310,9,2023,120,0,
2602002347753650,2,2023,48,2,
4102512582525070,12,2023,8,3,
4102623758084770,6,2023,194,16,
102002334400578,2,2023,203,18,
4102512407946150,8,2023,99,7,
2503088794093980,10,2023,31,23,
2503088263234890,1,2023,127,20,
2503088310906760,3,2023,126,20,
