region_id,region_name,city_id,city_name,district_id,district_name
01,Adrar,01,Adrar,006,Bouda
01,Adrar,01,Adrar,013,Ouled Ahmed Timmi
01,Adrar,01,Adrar,001,Adrar
01,Adrar,02,Aoulef,022,Timekten
01,Adrar,02,Aoulef,026,Tit
01,Adrar,02,Aoulef,002,Akabli
01,Adrar,02,Aoulef,004,Aoulef
01,Adrar,03,Fenoughil,009,Fenoughil
01,Adrar,03,Fenoughil,021,Tamest
01,Adrar,03,Fenoughil,020,Tamantit
01,Adrar,04,Reggane,016,Reggane
01,Adrar,04,Reggane,017,Sali
01,Adrar,05,Tsabit,018,Sebaa
01,Adrar,05,Tsabit,027,Tsabit
01,Adrar,06,Zaouiat Kounta,010,In Zghmir
01,Adrar,06,Zaouiat Kounta,028,Zaouiet Kounta
02,Chlef,01,Abou El Hassane,060,Talassa
02,Chlef,01,Abou El Hassane,059,Tadjena
02,Chlef,01,Abou El Hassane,029,Abou El Hassane
02,Chlef,02,Ain Merane,030,Ain Merane
02,Chlef,02,Ain Merane,045,Herenfa
02,Chlef,03,Beni Haoua,037,Breira
02,Chlef,03,Beni Haoua,033,Beni Haoua
02,Chlef,03,Beni Haoua,049,Oued Goussine
02,Chlef,04,Boukadir,035,Boukadir
02,Chlef,04,Boukadir,050,Oued Sly
02,Chlef,04,Boukadir,058,Sobha
02,Chlef,05,Chlef,039,Chlef
02,Chlef,05,Chlef,054,Oum Drou
02,Chlef,05,Chlef,055,Sendjas
02,Chlef,06,El Karimia,032,Beni  Bouattab
02,Chlef,06,El Karimia,042,El Karimia
02,Chlef,06,El Karimia,044,Harchoun
02,Chlef,07,El Marsa,043,El Marsa
02,Chlef,07,El Marsa,047,Moussadek
02,Chlef,08,Oued Fodda,051,Ouled Abbes
02,Chlef,08,Oued Fodda,048,Oued Fodda
02,Chlef,08,Oued Fodda,034,Beni Rached
02,Chlef,09,Ouled Ben Abdelkader,041,El Hadjadj
02,Chlef,09,Ouled Ben Abdelkader,052,Ouled Ben Abdelkader
02,Chlef,10,Ouled Fares,038,Chettia
02,Chlef,10,Ouled Fares,053,Ouled Fares
02,Chlef,10,Ouled Fares,046,Labiod Medjadja
02,Chlef,11,Taougrit,061,Taougrit
02,Chlef,11,Taougrit,040,Dahra
02,Chlef,12,Tenes,056,Sidi Abderrahmane
02,Chlef,12,Tenes,057,Sidi Akkacha
02,Chlef,12,Tenes,062,Tenes
02,Chlef,13,Zeboudja,063,Zeboudja
02,Chlef,13,Zeboudja,036,Bouzeghaia
02,Chlef,13,Zeboudja,031,Benairia
03,Laghouat,01,Aflou,082,Sebgag
03,Laghouat,01,Aflou,083,Sidi Bouzid
03,Laghouat,01,Aflou,064,Aflou
03,Laghouat,02,Ain Madhi,085,Tadjemout
03,Laghouat,02,Ain Madhi,086,Tadjrouna
03,Laghouat,02,Ain Madhi,065,Ain Madhi
03,Laghouat,02,Ain Madhi,072,El Haouaita
03,Laghouat,02,Ain Madhi,077,Kheneg
03,Laghouat,03,Brida,069,Brida
03,Laghouat,03,Brida,074,Hadj Mechri
